検索条件
"・地域：都内全域"
"・届出状態：完了"
"・用途：住宅等"
"・建物番号：指定なし"
"・建築主：指定なし"
"・設計者：指定なし"
"・環境性能：指定なし"
"・再エネ設備：指定なし"
"・再エネ電気：指定なし"
"・EV充電器：指定なし"


検索結果：1224件　CSV出力件数：1224件（CSV出力件数は建物の件数です。）

建物番号,地域,建物名,所在地,建築主,延べ面積,階数、構造,届出状況,工事完了(予定)年月,用途,UA値,ERR（住宅）,用途,PAL*低減率,ERR,基準年度,太陽光発電,太陽熱利用,地中熱利用,その他,合計値,再エネ電気,EV充電器,建物の断熱性,設備の省エネ性,再エネ設備・電気(太陽光発電・太陽熱),維持管理・劣化対策(建物の長寿命化),みどり
"240265","府中市","ドゥーエ府中Ⅱ","府中市宮西町一丁目15番27","東急リバブル株式会社　代表取締役社長　小林　俊一","2643.02","地上13階、地下0階、RC造","計画書（完了時）","2026-06-25","賃貸住宅","0.55","21.6","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"240131","江戸川区","アルファグランデ一之江七番街","江戸川区一之江七丁目189番4","スターツデベロップメント株式会社　代表取締役　吉永 英太","3409.45","地上14階、地下0階、RC造","計画書（完了時）","2026-04-21","分譲住宅","0.47","33.2","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","3","3","1","3","1"
"240306","練馬区","ZOOM練馬高野台","練馬区高野台4丁目2561番50","株式会社トーシンパートナーズ　代表取締役社長　小笠原一義","2368.02","地上8階、地下0階、RC造","計画書（完了時）","2026-04-20","賃貸住宅","0.59","23.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"230753","港区","ブランズ芝浦","港区芝浦四丁目4-11","東急不動産株式会社　代表取締役　星野　浩明","3983.05","地上14階、地下0階、RC造","計画書（完了時）","2026-03-24","分譲住宅","0.55","25.0","","","","2020","9.9","0.0","0.0","0.0","9.9","導入しない","なし","3","3","2","3","2"
"220259","中野区","中野M-SQUARE・パークシティ中野 ザ タワー エアーズ","中野区中野四丁目14番1号","囲町東地区市街地再開発組合　理事長　梶原　俊博","91384.58","地上25階、地下2階、SRC造、RC造、S造","計画書（完了時）","2026-03-16","分譲住宅","0.54","41.6","","","","2020","28.1","0.0","0.0","0.0","28.0","導入しない","あり","3","3","3","3","2"
"230705","港区","Akasaka Penthouse","港区赤坂４丁目５番１７号","株式会社レーサム　代表取締役　小町剛","2995.16","地上6階、地下3階、RC造","計画書（完了時）","2026-03-11","賃貸住宅","","21.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","3","1","1","1"
"230738","府中市","ソルティア府中宮町","府中市宮町一丁目28番20、28番21、29番2、29番20、29番24、　29番25","株式会社マリモ　代表取締役社長　谷本 勝秀","2547.39","地上13階、地下0階、RC造","計画書（完了時）","2026-03-06","分譲住宅","0.59","23.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"230439","豊島区","(仮称)豊島区目白３丁目プロジェクト","豊島区目白３丁目41-69,63-7","株式会社フージャースコーポレーション代表取締役社長　小川　栄一","2271.72","地上3階、地下0階、RC造","計画書（完了時）","2026-03-05","分譲住宅","0.73","19.7","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230484","江東区","コンフォリア・リヴ南砂町EAST","江東区北砂７丁目1098-1,-5,1099-3,-5,-7,-8,-10","株式会社カシワバラ・グラウンド　代表取締役　竹村英樹","7042.66","地上14階、地下0階、RC造","計画書（完了時）","2026-03-04","賃貸住宅","0.80","-4.6","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","1","1","2","1"
"220664","江東区","ブルックサイドレジデンス木場","江東区塩浜二丁目8番1号","　・旭化成ホームズ株式会社　　代表取締役　大和久　裕二　・合同会社ベンチャーF1　　代表社員　一般社団法人ベンチャーF1　　職務執行者　粟国　正樹　・合同会社ベンチャーF2　　代表社員　一般社団法人ベンチャーF1　　職務執行者　粟国　正樹","29698.49","地上18階、地下0階、RC造、S造","計画書（完了時）","2026-03-02","賃貸住宅","0.84","29.4","","","","2020","5.5","0.0","0.0","0.0","5.5","導入しない","あり","2","3","2","2","1"
"240450","練馬区","NIIYA平和台","練馬区平和台1-1584-1，8","内田　壽雄","5421.60","地上4階、地下0階、RC造","計画書（完了時）","2026-03-02","賃貸住宅","0.87","10.7","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","3","1","3","1"
"230148","荒川区","グレーシアタワー南千住","荒川区南千住６丁目223-1","相鉄不動産株式会社 取締役社長 平野雅之 三信住建株式会社 代表取締役社長 信田 博幸","6746.60","地上20階、地下0階、RC造","計画書（完了時）","2026-02-27","分譲住宅","0.41","28.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"240198","港区","THE UPPERHOUSE SHIROKANE","港区白金二丁目1番31","株式会社　大林　代表取締役　大林剛郎","3923.75","地上4階、地下1階、RC造","計画書（完了時）","2026-02-26","賃貸住宅","","-30.7","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","1","1","3","1"
"240230","豊島区","カレッジコート千川駅前","豊島区要町三丁目48番41","株式会社毎日コムネット　代表取締役社長　小野田　博幸","2310.69","地上9階、地下0階、RC造","計画書（完了時）","2026-02-26","賃貸住宅","0.59","29.0","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"240230","豊島区","カレッジコート千川駅前","豊島区要町三丁目48番41","株式会社毎日コムネット　代表取締役社長　小野田　博幸","2310.69","地上9階、地下0階、RC造","計画書（完了時）","2026-02-26","賃貸住宅","0.59","29.0","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"230433","江東区","ウエリスアーバン住吉EAST","江東区猿江一丁目22-16","NTT都市開発株式会社　代表取締役社長　池田 康","3316.96","地上10階、地下0階、RC造","計画書（完了時）","2026-02-25","賃貸住宅","0.56","22.6","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230432","江東区","ウエリスアーバン住吉WEST","江東区猿江一丁目22-10","NTT都市開発株式会社　代表取締役社長　池田 康","2550.86","地上10階、地下0階、RC造","計画書（完了時）","2026-02-25","賃貸住宅","0.58","24.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"240195","大田区","イニシア大田糀谷","大田区西糀谷三丁目５番１９号","株式会社 コスモスイニシア　代表取締役社長　髙智　亮大朗","4661.46","地上8階、地下0階、RC造","計画書（完了時）","2026-02-25","分譲住宅","0.60","20.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","3","3","1","3","2"
"240179","練馬区","ベルメゾン中村橋ノース","練馬区中村北2丁目20-8","日本酒類販売株式会社 代表取締役社長　倉本隆","2096.82","地上3階、地下0階、RC造","計画書（完了時）","2026-02-24","賃貸住宅","0.78","14.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","1","1"
"230741","北区","TOMORE田端","北区東田端1丁目4番2　他　　（地名地番）","野村不動産株式会社 代表取締役社長　松尾　大作","3210.23","地上8階、地下0階、RC造","計画書（完了時）","2026-02-19","賃貸住宅","0.60","22.1","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"230590","渋谷区","アーバンブリーズ恵比寿","渋谷区東３丁目15-2","株式会社フージャースアセットマネジメント 代表取締役社長 小川栄一","3307.90","地上14階、地下1階、RC造","計画書（完了時）","2026-02-19","賃貸住宅","0.59","33.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
