"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,79000000,"１ＬＤＫ",40,"2023年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",2,60000000,"１ＬＤＫ",45,"2014年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",3,14000000,"１Ｒ",20,"1978年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",5,59000000,"１ＬＤＫ",45,"2009年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",3,68000000,"１ＬＤＫ",45,"2016年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",4,23000000,"１Ｋ",20,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",4,12000000,"１Ｒ",20,"1981年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",7,23000000,"１Ｋ",30,"2003年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",8,46000000,"１ＬＤＫ",35,"2015年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,86000000,"１ＬＤＫ",40,"2023年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","市ケ谷",5,260000000,"２ＬＤＫ",85,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","市ケ谷",5,250000000,"２ＬＤＫ",70,"2018年","ＲＣ","","","商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","半蔵門",2,20000000,"１Ｋ",20,"1979年","ＳＲＣ","","","商業","","","2025年第2四半期","",""
