station_name,pref_cd,address,post_title,post_name,prefecture
東京,13,東京都千代田区丸の内一丁目,東京駅,東京,東京都
新橋,13,東京都港区新橋二丁目17,新橋駅,新橋,東京都
品川,13,東京都港区高輪三丁目26-27,品川駅,品川,東京都
大崎,13,東京都品川区大崎一丁目21-4,大崎駅,大崎,東京都
五反田,13,東京都品川区東五反田一丁目26,五反田駅,五反田,東京都
目黒,13,東京都品川区上大崎二丁目16-9,目黒駅,目黒,東京都
恵比寿,13,東京都渋谷区恵比寿南一丁目5-5,恵比寿駅,恵比寿,東京都
渋谷,13,東京都渋谷区道玄坂一丁目1-1,渋谷駅,渋谷,東京都
原宿,13,東京都渋谷区神宮前一丁目18,原宿駅,原宿,東京都
代々木,13,東京都渋谷区代々木一丁目34-1,代々木駅,代々木,東京都
新宿,13,東京都新宿区新宿三丁目38-1,新宿駅,新宿,東京都
新大久保,13,東京都新宿区百人町一丁目10-15,新大久保駅,新大久保,東京都
高田馬場,13,東京都新宿区高田馬場一丁目35-1,高田馬場駅,高田馬場,東京都
目白,13,東京都豊島区目白三丁目3-1,目白駅,目白,東京都
池袋,13,東京都豊島区南池袋一丁目28-2,池袋駅,池袋,東京都
大塚,13,東京都豊島区南大塚三丁目33-1,大塚駅,大塚,東京都
巣鴨,13,東京都豊島区巣鴨一丁目16-1,巣鴨駅,巣鴨,東京都
駒込,13,東京都豊島区駒込二丁目1-1,駒込駅,駒込,東京都
田端,13,東京都北区東田端一丁目17-1,田端駅,田端,東京都
西日暮里,13,東京都荒川区西日暮里五丁目22-1,西日暮里駅,西日暮里,東京都
日暮里,13,東京都荒川区西日暮里二丁目19-1,日暮里駅,日暮里,東京都
鶯谷,13,東京都台東区根岸一丁目4-1,鶯谷駅,鶯谷,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
御徒町,13,東京都台東区上野五丁目27,御徒町駅,御徒町,東京都
秋葉原,13,東京都千代田区外神田一丁目17,秋葉原駅,秋葉原,東京都
神田,13,東京都千代田区鍛冶町二丁目13-1,神田駅,神田,東京都
東京,13,東京都千代田区丸の内一丁目9-1,東京駅,東京,東京都
有楽町,13,東京都千代田区有楽町二丁目9,有楽町駅,有楽町,東京都
新橋,13,東京都港区新橋二丁目17,新橋駅,新橋,東京都
浜松町,13,東京都港区海岸一丁目3-1,浜松町駅,浜松町,東京都
田町,13,東京都港区芝五丁目33-36,田町駅,田町,東京都
高輪ゲートウェイ,13,港区港南二丁目10-145,高輪ゲートウェイ駅,高輪ゲートウェイ,東京都
品川,13,東京都港区高輪三丁目26-26,品川駅,品川,東京都
矢野口,13,稲城市矢野口,矢野口駅,矢野口,東京都
稲城長沼,13,稲城市東長沼,稲城長沼駅,稲城長沼,東京都
南多摩,13,稲城市大丸,南多摩駅,南多摩,東京都
府中本町,13,府中市本町１丁目,府中本町駅,府中本町,東京都
分倍河原,13,府中市片町２丁目,分倍河原駅,分倍河原,東京都
西府,13,東京都府中市本宿町一丁目40-6,西府駅,西府,東京都
谷保,13,国立市谷保町,谷保駅,谷保,東京都
矢川,13,国立市谷保石田,矢川駅,矢川,東京都
西国立,13,立川市羽衣町１丁目,西国立駅,西国立,東京都
立川,13,東京都立川市曙町二丁目1-1,立川駅,立川,東京都
府中本町,13,府中市本町１丁目,府中本町駅,府中本町,東京都
北府中,13,府中市晴見町２丁目,北府中駅,北府中,東京都
西国分寺,13,国分寺市西恋ケ窪２丁目,西国分寺駅,西国分寺,東京都
新小平,13,小平市小川町２丁目,新小平駅,新小平,東京都
新秋津,13,東村山市秋津町５丁目,新秋津駅,新秋津,東京都
成瀬,13,町田市南成瀬１丁目,成瀬駅,成瀬,東京都
町田,13,町田市原町田１丁目,町田駅,町田,東京都
相原,13,町田市相原町,相原駅,相原,東京都
八王子みなみ野,13,八王子市宇津貫町,八王子みなみ野駅,八王子みなみ野,東京都
片倉,13,八王子市片倉町,片倉駅,片倉,東京都
