name,st,min,near,use,year,floors,area,src,addr
THE TOWERS DAIBA,お台場海浜公園,5,お台場海浜公園:5,分譲,,,,とどまるマンション,港区台場2丁目
GENOVIAお花茶屋IIskygarden,お花茶屋,4,お花茶屋:4|堀切菖蒲園:11,分譲,2023,7,5884,建築物環境計画書,葛飾区宝町2丁目5番25
ALTERNA お花茶屋(オルタナ オハナジャヤ),お花茶屋,9,お花茶屋:9|堀切菖蒲園:13|四ツ木:14|京成立石:14,分譲,2023,5,3854,建築物環境計画書,葛飾区宝町1丁目24番1号
アーバンパークお花茶屋,お花茶屋,9,お花茶屋:9|堀切菖蒲園:13|四ツ木:14|京成立石:14,分譲,2024,14,3455,建築物環境計画書,葛飾区宝町1丁目1番7号
エクセレントシティお花茶屋レジデンス,お花茶屋,9,お花茶屋:9,分譲,2023,6,3821,建築物環境計画書,葛飾区白鳥三丁目26番9(住居表示)
テラス押上,とうきょうスカイツリー,4,とうきょうスカイツリー:4|本所吾妻橋:6|浅草:14,賃貸,2023,10,3733,建築物環境計画書,墨田区業平一丁目13番3
ミリアレジデンス押上,とうきょうスカイツリー,4,とうきょうスカイツリー:4|本所吾妻橋:9|曳舟:11|浅草:13|京成曳舟:14,賃貸,,,,とどまるマンション,墨田区向島3丁目
SEASON FLATS 押上 Terrace,とうきょうスカイツリー,6,とうきょうスカイツリー:6|本所吾妻橋:12|小村井:15,賃貸,2023,7,2150,建築物環境計画書,墨田区業平4丁目11番7号
グランハイツ錦糸町,とうきょうスカイツリー,10,とうきょうスカイツリー:10|錦糸町:11|本所吾妻橋:12,賃貸,,,,とどまるマンション,墨田区横川3丁目
藤和シティコープ錦糸町II,とうきょうスカイツリー,11,とうきょうスカイツリー:11|錦糸町:12|小村井:14|亀戸:14,分譲,,,,とどまるマンション,墨田区横川5丁目
GENOVIA板橋東山町skygarden,ときわ台,7,ときわ台:7|中板橋:9,賃貸,2021,4,2016,建築物環境計画書,板橋区東山町7番9
秀和めじろ台レジデンス,めじろ台,10,めじろ台:10,分譲,,,,とどまるマンション,八王子市椚田町
アルファグランデ一之江七番街,一之江,4,一之江:4,分譲,2026,14,3409,建築物環境計画書,江戸川区一之江七丁目189番4
コスモフェスタ一之江,一之江,6,一之江:6,分譲,,,,とどまるマンション,江戸川区一之江4丁目
アルファグランデ一之江弐番街,一之江,8,一之江:8|船堀:14,分譲,,,,とどまるマンション,江戸川区一之江6丁目
