muni,muni_code,q_count,first_q,last_q,chg_1y,chg_3y,chg_5y,chg_10y,chg_all,cagr_10y,vol,cnt_chg_5y,trend_json
千代田区,13101,83,2005Q3,2026Q1,22.8,36.4,43.9,73.0,100.7,5.63,6.9,79.8,"[{""y"":2016,""q"":2,""v"":1026667,""n"":81},{""y"":2016,""q"":3,""v"":1050000,""n"":67},{""y"":2016,""q"":4,""v"":1075000,""n"":75},{""y"":2017,""q"":1,""v"":1100000,""n"":87},{""y"":2017,""q"":2,""v"":1124546,""n"":60},{""y"":2017,""q"":3,""v"":1137500,""n"":70},{""y"":2017,""q"":4,""v"":1073810,""n"":66},{""y"":2018,""q"":1,""v"":1100000,""n"":80},{""y"":2018,""q"":2,""v"":1128334,""n"":64},{""y"":2018,""q"":3,""v"":1100000,""n"":59},{""y"":2018,""q"":4,""v"":1200000,""n"":60},{""y"":2019,""q"":1,""v"":1200000,""n"":58},{""y"":2019,""q"":2,""v"":1150000,""n"":57},{""y"":2019,""q"":3,""v"":1200000,""n"":70},{""y"":2019,""q"":4,""v"":1200000,""n"":46},{""y"":2020,""q"":1,""v"":1240000,""n"":67},{""y"":2020,""q"":2,""v"":1250000,""n"":53},{""y"":2020,""q"":3,""v"":1200000,""n"":67},{""y"":2020,""q"":4,""v"":1300000,""n"":63},{""y"":2021,""q"":1,""v"":1214286,""n"":129},{""y"":2021,""q"":2,""v"":1200000,""n"":132},{""y"":2021,""q"":3,""v"":1285714,""n"":111},{""y"":2021,""q"":4,""v"":1315477,""n"":142},{""y"":2022,""q"":1,""v"":1333333,""n"":135},{""y"":2022,""q"":2,""v"":1300000,""n"":155},{""y"":2022,""q"":3,""v"":1304546,""n"":134},{""y"":2022,""q"":4,""v"":1300000,""n"":144},{""y"":2023,""q"":1,""v"":1300000,""n"":123},{""y"":2023,""q"":2,""v"":1360000,""n"":118},{""y"":2023,""q"":3,""v"":1350000,""n"":119},{""y"":2023,""q"":4,""v"":1371429,""n"":133},{""y"":2024,""q"":1,""v"":1447273,""n"":128},{""y"":2024,""q"":2,""v"":1350000,""n"":118},{""y"":2024,""q"":3,""v"":1436508,""n"":114},{""y"":2024,""q"":4,""v"":1450000,""n"":123},{""y"":2025,""q"":1,""v"":1600000,""n"":141},{""y"":2025,""q"":2,""v"":1705556,""n"":160},{""y"":2025,""q"":3,""v"":1560000,""n"":161},{""y"":2025,""q"":4,""v"":1840000,""n"":141},{""y"":2026,""q"":1,""v"":2000000,""n"":99}]"
中央区,13102,83,2005Q3,2026Q1,16.9,44.5,61.5,87.3,162.8,6.48,4.8,78.7,"[{""y"":2016,""q"":2,""v"":1000000,""n"":168},{""y"":2016,""q"":3,""v"":1000000,""n"":190},{""y"":2016,""q"":4,""v"":1000000,""n"":197},{""y"":2017,""q"":1,""v"":981818,""n"":187},{""y"":2017,""q"":2,""v"":1000000,""n"":170},{""y"":2017,""q"":3,""v"":1000000,""n"":195},{""y"":2017,""q"":4,""v"":1014286,""n"":183},{""y"":2018,""q"":1,""v"":1028571,""n"":177},{""y"":2018,""q"":2,""v"":1019618,""n"":170},{""y"":2018,""q"":3,""v"":1009091,""n"":164},{""y"":2018,""q"":4,""v"":1053333,""n"":145},{""y"":2019,""q"":1,""v"":1050000,""n"":186},{""y"":2019,""q"":2,""v"":1059341,""n"":182},{""y"":2019,""q"":3,""v"":1061538,""n"":220},{""y"":2019,""q"":4,""v"":1040000,""n"":185},{""y"":2020,""q"":1,""v"":1083333,""n"":217},{""y"":2020,""q"":2,""v"":1083333,""n"":133},{""y"":2020,""q"":3,""v"":1100000,""n"":197},{""y"":2020,""q"":4,""v"":1120000,""n"":231},{""y"":2021,""q"":1,""v"":1103334,""n"":386},{""y"":2021,""q"":2,""v"":1125000,""n"":448},{""y"":2021,""q"":3,""v"":1127273,""n"":409},{""y"":2021,""q"":4,""v"":1150000,""n"":429},{""y"":2022,""q"":1,""v"":1174167,""n"":390},{""y"":2022,""q"":2,""v"":1167949,""n"":374},{""y"":2022,""q"":3,""v"":1222222,""n"":391},{""y"":2022,""q"":4,""v"":1240000,""n"":411},{""y"":2023,""q"":1,""v"":1248077,""n"":408},{""y"":2023,""q"":2,""v"":1250000,""n"":425},{""y"":2023,""q"":3,""v"":1250000,""n"":441},{""y"":2023,""q"":4,""v"":1333333,""n"":464},{""y"":2024,""q"":1,""v"":1383333,""n"":441},{""y"":2024,""q"":2,""v"":1400000,""n"":466},{""y"":2024,""q"":3,""v"":1444444,""n"":425},{""y"":2024,""q"":4,""v"":1618182,""n"":363},{""y"":2025,""q"":1,""v"":1600000,""n"":469},{""y"":2025,""q"":2,""v"":1666667,""n"":455},{""y"":2025,""q"":3,""v"":1757778,""n"":488},{""y"":2025,""q"":4,""v"":1800000,""n"":419},{""y"":2026,""q"":1,""v"":1857143,""n"":330}]"
港区,13103,83,2005Q3,2026Q1,14.5,41.4,55.3,88.2,159.1,6.53,6.2,95.5,"[{""y"":2016,""q"":2,""v"":1084524,""n"":194},{""y"":2016,""q"":3,""v"":1075000,""n"":237},{""y"":2016,""q"":4,""v"":1100000,""n"":198},{""y"":2017,""q"":1,""v"":1100000,""n"":237},{""y"":2017,""q"":2,""v"":1170000,""n"":182},{""y"":2017,""q"":3,""v"":1150000,""n"":175},{""y"":2017,""q"":4,""v"":1168750,""n"":164},{""y"":2018,""q"":1,""v"":1151471,""n"":220},{""y"":2018,""q"":2,""v"":1150000,""n"":199},{""y"":2018,""q"":3,""v"":1228571,""n"":174},{""y"":2018,""q"":4,""v"":1153948,""n"":168},{""y"":2019,""q"":1,""v"":1222222,""n"":193},{""y"":2019,""q"":2,""v"":1233333,""n"":171},{""y"":2019,""q"":3,""v"":1250000,""n"":206},{""y"":2019,""q"":4,""v"":1300000,""n"":206},{""y"":2020,""q"":1,""v"":1250000,""n"":225},{""y"":2020,""q"":2,""v"":1250000,""n"":137},{""y"":2020,""q"":3,""v"":1300000,""n"":218},{""y"":2020,""q"":4,""v"":1300000,""n"":224},{""y"":2021,""q"":1,""v"":1250000,""n"":469},{""y"":2021,""q"":2,""v"":1307692,""n"":491},{""y"":2021,""q"":3,""v"":1320000,""n"":442},{""y"":2021,""q"":4,""v"":1300000,""n"":432},{""y"":2022,""q"":1,""v"":1353572,""n"":500},{""y"":2022,""q"":2,""v"":1400000,""n"":463},{""y"":2022,""q"":3,""v"":1400000,""n"":491},{""y"":2022,""q"":4,""v"":1447222,""n"":526},{""y"":2023,""q"":1,""v"":1375000,""n"":463},{""y"":2023,""q"":2,""v"":1485455,""n"":514},{""y"":2023,""q"":3,""v"":1525000,""n"":495},{""y"":2023,""q"":4,""v"":1480128,""n"":520},{""y"":2024,""q"":1,""v"":1567533,""n"":510},{""y"":2024,""q"":2,""v"":1682106,""n"":500},{""y"":2024,""q"":3,""v"":1600000,""n"":442},{""y"":2024,""q"":4,""v"":1785646,""n"":466},{""y"":2025,""q"":1,""v"":1777778,""n"":537},{""y"":2025,""q"":2,""v"":2000000,""n"":552},{""y"":2025,""q"":3,""v"":1960000,""n"":542},{""y"":2025,""q"":4,""v"":1933333,""n"":535},{""y"":2026,""q"":1,""v"":2000000,""n"":420}]"
新宿区,13104,83,2005Q3,2026Q1,4.3,18.3,21.3,47.2,107.2,3.94,5.1,97.7,"[{""y"":2016,""q"":2,""v"":904546,""n"":196},{""y"":2016,""q"":3,""v"":950000,""n"":216},{""y"":2016,""q"":4,""v"":900000,""n"":184},{""y"":2017,""q"":1,""v"":950000,""n"":227},{""y"":2017,""q"":2,""v"":926667,""n"":192},{""y"":2017,""q"":3,""v"":942857,""n"":208},{""y"":2017,""q"":4,""v"":979167,""n"":222},{""y"":2018,""q"":1,""v"":1000000,""n"":221},{""y"":2018,""q"":2,""v"":950000,""n"":183},{""y"":2018,""q"":3,""v"":1050000,""n"":189},{""y"":2018,""q"":4,""v"":1041429,""n"":196},{""y"":2019,""q"":1,""v"":1050000,""n"":205},{""y"":2019,""q"":2,""v"":1050000,""n"":198},{""y"":2019,""q"":3,""v"":1000000,""n"":211},{""y"":2019,""q"":4,""v"":1040000,""n"":190},{""y"":2020,""q"":1,""v"":1100000,""n"":230},{""y"":2020,""q"":2,""v"":1100000,""n"":159},{""y"":2020,""q"":3,""v"":1114286,""n"":217},{""y"":2020,""q"":4,""v"":1066667,""n"":257},{""y"":2021,""q"":1,""v"":1057143,""n"":359},{""y"":2021,""q"":2,""v"":1066667,""n"":412},{""y"":2021,""q"":3,""v"":1066667,""n"":413},{""y"":2021,""q"":4,""v"":1100000,""n"":445},{""y"":2022,""q"":1,""v"":1120000,""n"":395},{""y"":2022,""q"":2,""v"":1114286,""n"":425},{""y"":2022,""q"":3,""v"":1100000,""n"":431},{""y"":2022,""q"":4,""v"":1120000,""n"":455},{""y"":2023,""q"":1,""v"":1108392,""n"":422},{""y"":2023,""q"":2,""v"":1150000,""n"":451},{""y"":2023,""q"":3,""v"":1150000,""n"":452},{""y"":2023,""q"":4,""v"":1150000,""n"":406},{""y"":2024,""q"":1,""v"":1250000,""n"":470},{""y"":2024,""q"":2,""v"":1253572,""n"":460},{""y"":2024,""q"":3,""v"":1250000,""n"":422},{""y"":2024,""q"":4,""v"":1266667,""n"":433},{""y"":2025,""q"":1,""v"":1300000,""n"":516},{""y"":2025,""q"":2,""v"":1300000,""n"":494},{""y"":2025,""q"":3,""v"":1309091,""n"":556},{""y"":2025,""q"":4,""v"":1346429,""n"":520},{""y"":2026,""q"":1,""v"":1320000,""n"":391}]"
文京区,13105,83,2005Q3,2026Q1,16.1,25.2,31.3,62.2,92.3,4.96,5.1,72.0,"[{""y"":2016,""q"":2,""v"":900000,""n"":127},{""y"":2016,""q"":3,""v"":877500,""n"":136},{""y"":2016,""q"":4,""v"":928571,""n"":135},{""y"":2017,""q"":1,""v"":907692,""n"":133},{""y"":2017,""q"":2,""v"":954701,""n"":118},{""y"":2017,""q"":3,""v"":936667,""n"":140},{""y"":2017,""q"":4,""v"":920000,""n"":117},{""y"":2018,""q"":1,""v"":942857,""n"":141},{""y"":2018,""q"":2,""v"":975715,""n"":114},{""y"":2018,""q"":3,""v"":1000000,""n"":129},{""y"":2018,""q"":4,""v"":933517,""n"":154},{""y"":2019,""q"":1,""v"":990000,""n"":126},{""y"":2019,""q"":2,""v"":981818,""n"":119},{""y"":2019,""q"":3,""v"":1000000,""n"":118},{""y"":2019,""q"":4,""v"":1050000,""n"":142},{""y"":2020,""q"":1,""v"":1027885,""n"":194},{""y"":2020,""q"":2,""v"":1000000,""n"":116},{""y"":2020,""q"":3,""v"":1066667,""n"":124},{""y"":2020,""q"":4,""v"":1066667,""n"":157},{""y"":2021,""q"":1,""v"":1055556,""n"":279},{""y"":2021,""q"":2,""v"":1075000,""n"":259},{""y"":2021,""q"":3,""v"":1072727,""n"":265},{""y"":2021,""q"":4,""v"":1107692,""n"":299},{""y"":2022,""q"":1,""v"":1135898,""n"":262},{""y"":2022,""q"":2,""v"":1100000,""n"":255},{""y"":2022,""q"":3,""v"":1111111,""n"":275},{""y"":2022,""q"":4,""v"":1114286,""n"":301},{""y"":2023,""q"":1,""v"":1150000,""n"":285},{""y"":2023,""q"":2,""v"":1123077,""n"":291},{""y"":2023,""q"":3,""v"":1112500,""n"":291},{""y"":2023,""q"":4,""v"":1162281,""n"":270},{""y"":2024,""q"":1,""v"":1213943,""n"":296},{""y"":2024,""q"":2,""v"":1200000,""n"":262},{""y"":2024,""q"":3,""v"":1250000,""n"":262},{""y"":2024,""q"":4,""v"":1160000,""n"":245},{""y"":2025,""q"":1,""v"":1200000,""n"":330},{""y"":2025,""q"":2,""v"":1280000,""n"":326},{""y"":2025,""q"":3,""v"":1357143,""n"":309},{""y"":2025,""q"":4,""v"":1428571,""n"":295},{""y"":2026,""q"":1,""v"":1428571,""n"":233}]"
台東区,13106,83,2005Q3,2026Q1,6.2,19.6,23.8,61.6,126.5,4.92,6.9,77.8,"[{""y"":2016,""q"":2,""v"":755000,""n"":116},{""y"":2016,""q"":3,""v"":800000,""n"":114},{""y"":2016,""q"":4,""v"":750000,""n"":100},{""y"":2017,""q"":1,""v"":800000,""n"":120},{""y"":2017,""q"":2,""v"":800000,""n"":99},{""y"":2017,""q"":3,""v"":833333,""n"":100},{""y"":2017,""q"":4,""v"":800000,""n"":103},{""y"":2018,""q"":1,""v"":880000,""n"":119},{""y"":2018,""q"":2,""v"":866667,""n"":119},{""y"":2018,""q"":3,""v"":870834,""n"":94},{""y"":2018,""q"":4,""v"":877500,""n"":130},{""y"":2019,""q"":1,""v"":900000,""n"":134},{""y"":2019,""q"":2,""v"":858572,""n"":142},{""y"":2019,""q"":3,""v"":892857,""n"":124},{""y"":2019,""q"":4,""v"":900000,""n"":121},{""y"":2020,""q"":1,""v"":950000,""n"":165},{""y"":2020,""q"":2,""v"":920000,""n"":109},{""y"":2020,""q"":3,""v"":885714,""n"":144},{""y"":2020,""q"":4,""v"":938095,""n"":160},{""y"":2021,""q"":1,""v"":933333,""n"":249},{""y"":2021,""q"":2,""v"":920000,""n"":259},{""y"":2021,""q"":3,""v"":920000,""n"":243},{""y"":2021,""q"":4,""v"":894118,""n"":255},{""y"":2022,""q"":1,""v"":942857,""n"":245},{""y"":2022,""q"":2,""v"":952778,""n"":264},{""y"":2022,""q"":3,""v"":954701,""n"":252},{""y"":2022,""q"":4,""v"":965152,""n"":284},{""y"":2023,""q"":1,""v"":973215,""n"":254},{""y"":2023,""q"":2,""v"":980000,""n"":243},{""y"":2023,""q"":3,""v"":979167,""n"":284},{""y"":2023,""q"":4,""v"":1018182,""n"":266},{""y"":2024,""q"":1,""v"":1046154,""n"":257},{""y"":2024,""q"":2,""v"":1072727,""n"":315},{""y"":2024,""q"":3,""v"":1050000,""n"":244},{""y"":2024,""q"":4,""v"":1107692,""n"":261},{""y"":2025,""q"":1,""v"":1088889,""n"":308},{""y"":2025,""q"":2,""v"":1128571,""n"":311},{""y"":2025,""q"":3,""v"":1112699,""n"":316},{""y"":2025,""q"":4,""v"":1228571,""n"":307},{""y"":2026,""q"":1,""v"":1166667,""n"":243}]"
墨田区,13107,83,2005Q3,2026Q1,7.9,16.6,22.2,58.8,146.0,4.73,8.9,62.2,"[{""y"":2016,""q"":2,""v"":707692,""n"":115},{""y"":2016,""q"":3,""v"":727273,""n"":115},{""y"":2016,""q"":4,""v"":733333,""n"":103},{""y"":2017,""q"":1,""v"":750000,""n"":106},{""y"":2017,""q"":2,""v"":750000,""n"":99},{""y"":2017,""q"":3,""v"":750000,""n"":103},{""y"":2017,""q"":4,""v"":761818,""n"":124},{""y"":2018,""q"":1,""v"":800000,""n"":133},{""y"":2018,""q"":2,""v"":800000,""n"":119},{""y"":2018,""q"":3,""v"":800000,""n"":129},{""y"":2018,""q"":4,""v"":850000,""n"":123},{""y"":2019,""q"":1,""v"":836667,""n"":154},{""y"":2019,""q"":2,""v"":900000,""n"":142},{""y"":2019,""q"":3,""v"":920000,""n"":147},{""y"":2019,""q"":4,""v"":960000,""n"":133},{""y"":2020,""q"":1,""v"":880000,""n"":178},{""y"":2020,""q"":2,""v"":840000,""n"":123},{""y"":2020,""q"":3,""v"":866667,""n"":159},{""y"":2020,""q"":4,""v"":900000,""n"":177},{""y"":2021,""q"":1,""v"":846154,""n"":303},{""y"":2021,""q"":2,""v"":777778,""n"":291},{""y"":2021,""q"":3,""v"":833333,""n"":267},{""y"":2021,""q"":4,""v"":900000,""n"":323},{""y"":2022,""q"":1,""v"":847222,""n"":288},{""y"":2022,""q"":2,""v"":850000,""n"":256},{""y"":2022,""q"":3,""v"":882857,""n"":276},{""y"":2022,""q"":4,""v"":920000,""n"":296},{""y"":2023,""q"":1,""v"":912879,""n"":280},{""y"":2023,""q"":2,""v"":906667,""n"":249},{""y"":2023,""q"":3,""v"":944762,""n"":286},{""y"":2023,""q"":4,""v"":914286,""n"":267},{""y"":2024,""q"":1,""v"":926786,""n"":276},{""y"":2024,""q"":2,""v"":966667,""n"":285},{""y"":2024,""q"":3,""v"":1000000,""n"":268},{""y"":2024,""q"":4,""v"":960000,""n"":295},{""y"":2025,""q"":1,""v"":972381,""n"":330},{""y"":2025,""q"":2,""v"":1000000,""n"":329},{""y"":2025,""q"":3,""v"":1038182,""n"":342},{""y"":2025,""q"":4,""v"":1055000,""n"":330},{""y"":2026,""q"":1,""v"":1066667,""n"":235}]"
江東区,13108,83,2005Q3,2026Q1,12.0,23.7,41.2,82.2,188.7,6.18,5.8,86.8,"[{""y"":2016,""q"":2,""v"":650926,""n"":206},{""y"":2016,""q"":3,""v"":692308,""n"":228},{""y"":2016,""q"":4,""v"":653939,""n"":258},{""y"":2017,""q"":1,""v"":707692,""n"":247},{""y"":2017,""q"":2,""v"":633333,""n"":211},{""y"":2017,""q"":3,""v"":703846,""n"":244},{""y"":2017,""q"":4,""v"":725824,""n"":242},{""y"":2018,""q"":1,""v"":692308,""n"":257},{""y"":2018,""q"":2,""v"":712500,""n"":269},{""y"":2018,""q"":3,""v"":690909,""n"":245},{""y"":2018,""q"":4,""v"":786667,""n"":247},{""y"":2019,""q"":1,""v"":733333,""n"":285},{""y"":2019,""q"":2,""v"":739819,""n"":242},{""y"":2019,""q"":3,""v"":714584,""n"":230},{""y"":2019,""q"":4,""v"":800000,""n"":241},{""y"":2020,""q"":1,""v"":800000,""n"":291},{""y"":2020,""q"":2,""v"":784524,""n"":218},{""y"":2020,""q"":3,""v"":817425,""n"":312},{""y"":2020,""q"":4,""v"":800000,""n"":329},{""y"":2021,""q"":1,""v"":786667,""n"":545},{""y"":2021,""q"":2,""v"":822222,""n"":651},{""y"":2021,""q"":3,""v"":815385,""n"":600},{""y"":2021,""q"":4,""v"":857143,""n"":628},{""y"":2022,""q"":1,""v"":862500,""n"":581},{""y"":2022,""q"":2,""v"":910796,""n"":654},{""y"":2022,""q"":3,""v"":900000,""n"":644},{""y"":2022,""q"":4,""v"":914286,""n"":584},{""y"":2023,""q"":1,""v"":900000,""n"":594},{""y"":2023,""q"":2,""v"":920000,""n"":608},{""y"":2023,""q"":3,""v"":966667,""n"":639},{""y"":2023,""q"":4,""v"":1000000,""n"":616},{""y"":2024,""q"":1,""v"":993750,""n"":682},{""y"":2024,""q"":2,""v"":1000000,""n"":656},{""y"":2024,""q"":3,""v"":1000000,""n"":576},{""y"":2024,""q"":4,""v"":1000000,""n"":588},{""y"":2025,""q"":1,""v"":1000000,""n"":731},{""y"":2025,""q"":2,""v"":1066667,""n"":690},{""y"":2025,""q"":3,""v"":1120000,""n"":737},{""y"":2025,""q"":4,""v"":1166667,""n"":641},{""y"":2026,""q"":1,""v"":1120000,""n"":555}]"
品川区,13109,83,2005Q3,2026Q1,5.4,20.9,29.5,54.0,122.9,4.41,8.2,86.2,"[{""y"":2016,""q"":2,""v"":900000,""n"":201},{""y"":2016,""q"":3,""v"":858824,""n"":183},{""y"":2016,""q"":4,""v"":950000,""n"":173},{""y"":2017,""q"":1,""v"":892857,""n"":188},{""y"":2017,""q"":2,""v"":909091,""n"":140},{""y"":2017,""q"":3,""v"":950000,""n"":195},{""y"":2017,""q"":4,""v"":950000,""n"":173},{""y"":2018,""q"":1,""v"":1000000,""n"":190},{""y"":2018,""q"":2,""v"":909091,""n"":179},{""y"":2018,""q"":3,""v"":1000000,""n"":161},{""y"":2018,""q"":4,""v"":983333,""n"":187},{""y"":2019,""q"":1,""v"":953846,""n"":195},{""y"":2019,""q"":2,""v"":1000000,""n"":200},{""y"":2019,""q"":3,""v"":990000,""n"":180},{""y"":2019,""q"":4,""v"":1000000,""n"":169},{""y"":2020,""q"":1,""v"":1015385,""n"":229},{""y"":2020,""q"":2,""v"":1053572,""n"":160},{""y"":2020,""q"":3,""v"":1008334,""n"":216},{""y"":2020,""q"":4,""v"":1000000,""n"":220},{""y"":2021,""q"":1,""v"":1000000,""n"":365},{""y"":2021,""q"":2,""v"":1000000,""n"":438},{""y"":2021,""q"":3,""v"":1043651,""n"":408},{""y"":2021,""q"":4,""v"":1057143,""n"":409},{""y"":2022,""q"":1,""v"":1076923,""n"":407},{""y"":2022,""q"":2,""v"":1050000,""n"":409},{""y"":2022,""q"":3,""v"":1066667,""n"":346},{""y"":2022,""q"":4,""v"":1083333,""n"":375},{""y"":2023,""q"":1,""v"":1106667,""n"":405},{""y"":2023,""q"":2,""v"":1084524,""n"":390},{""y"":2023,""q"":3,""v"":1130952,""n"":410},{""y"":2023,""q"":4,""v"":1200000,""n"":465},{""y"":2024,""q"":1,""v"":1200000,""n"":408},{""y"":2024,""q"":2,""v"":1216667,""n"":459},{""y"":2024,""q"":3,""v"":1150000,""n"":396},{""y"":2024,""q"":4,""v"":1250000,""n"":459},{""y"":2025,""q"":1,""v"":1285714,""n"":502},{""y"":2025,""q"":2,""v"":1250000,""n"":500},{""y"":2025,""q"":3,""v"":1300000,""n"":509},{""y"":2025,""q"":4,""v"":1300000,""n"":442},{""y"":2026,""q"":1,""v"":1350000,""n"":338}]"
目黒区,13110,83,2005Q3,2026Q1,8.8,17.9,26.8,47.7,99.3,3.98,7.1,99.1,"[{""y"":2016,""q"":2,""v"":900000,""n"":93},{""y"":2016,""q"":3,""v"":916667,""n"":93},{""y"":2016,""q"":4,""v"":930952,""n"":92},{""y"":2017,""q"":1,""v"":950000,""n"":94},{""y"":2017,""q"":2,""v"":952778,""n"":78},{""y"":2017,""q"":3,""v"":1000000,""n"":71},{""y"":2017,""q"":4,""v"":1010527,""n"":82},{""y"":2018,""q"":1,""v"":1066667,""n"":87},{""y"":2018,""q"":2,""v"":1000000,""n"":94},{""y"":2018,""q"":3,""v"":1050000,""n"":76},{""y"":2018,""q"":4,""v"":953782,""n"":86},{""y"":2019,""q"":1,""v"":1075962,""n"":76},{""y"":2019,""q"":2,""v"":1000000,""n"":97},{""y"":2019,""q"":3,""v"":970834,""n"":98},{""y"":2019,""q"":4,""v"":1044444,""n"":79},{""y"":2020,""q"":1,""v"":1080000,""n"":108},{""y"":2020,""q"":2,""v"":1095455,""n"":58},{""y"":2020,""q"":3,""v"":1037500,""n"":90},{""y"":2020,""q"":4,""v"":1125000,""n"":92},{""y"":2021,""q"":1,""v"":1066667,""n"":218},{""y"":2021,""q"":2,""v"":1073334,""n"":238},{""y"":2021,""q"":3,""v"":1114584,""n"":206},{""y"":2021,""q"":4,""v"":1091609,""n"":220},{""y"":2022,""q"":1,""v"":1200000,""n"":232},{""y"":2022,""q"":2,""v"":1129412,""n"":277},{""y"":2022,""q"":3,""v"":1166667,""n"":223},{""y"":2022,""q"":4,""v"":1158948,""n"":240},{""y"":2023,""q"":1,""v"":1181818,""n"":213},{""y"":2023,""q"":2,""v"":1200000,""n"":203},{""y"":2023,""q"":3,""v"":1200000,""n"":219},{""y"":2023,""q"":4,""v"":1225000,""n"":236},{""y"":2024,""q"":1,""v"":1200000,""n"":249},{""y"":2024,""q"":2,""v"":1200000,""n"":215},{""y"":2024,""q"":3,""v"":1240000,""n"":233},{""y"":2024,""q"":4,""v"":1280000,""n"":233},{""y"":2025,""q"":1,""v"":1314286,""n"":269},{""y"":2025,""q"":2,""v"":1307692,""n"":239},{""y"":2025,""q"":3,""v"":1407693,""n"":250},{""y"":2025,""q"":4,""v"":1411765,""n"":219},{""y"":2026,""q"":1,""v"":1333333,""n"":204}]"
