reit_name,doc_id,status,properties,acquisition_price,appraisal_value,cap_rate,appraiser,location,occupancy
いちごオフィスリート投資法人,S100XHYH,OK,86,0%,100%,0%,0%,100%,93%
いちごホテルリート投資法人,S100Y11Z,OK,30,100%,100%,100%,100%,100%,100%
アクティビア・プロパティーズ投資法人,S100XN1G,OK,48,93%,100%,91%,0%,93%,93%
アドバンス・レジデンス投資法人,S100XZUJ,OK,288,99%,99%,99%,99%,0%,99%
イオンリート投資法人,S100Y1LM,OK,59,86%,98%,74%,88%,94%,86%
インヴィンシブル投資法人,S100XUTU,OK,155,99%,98%,0%,99%,98%,97%
エスコンジャパンリート投資法人,S100Y10U,OK,40,100%,95%,25%,100%,100%,92%
エネクス・インフラ投資法人,S100XN6M,OK,12,100%,100%,0%,100%,100%,0%
オリックス不動産投資法人,S100Y5O2,OK,121,100%,100%,0%,0%,0%,0%
カナディアン・ソーラー・インフラ投資法人,S100XULI,OK,35,100%,100%,0%,100%,100%,0%
グローバル・ワン不動産投資法人,S100YIB4,OK,16,100%,100%,100%,0%,0%,0%
コンフォリア・レジデンシャル投資法人,S100Y0R9,OK,175,100%,100%,100%,100%,0%,100%
サムティ・レジデンシャル投資法人,S100Y1FQ,OK,190,99%,100%,99%,100%,99%,99%
サンケイリアルエステート投資法人,S100Y7AR,OK,16,100%,100%,100%,100%,100%,100%
ジャパンエクセレント投資法人,S100XUV3,OK,37,100%,100%,86%,0%,37%,89%
ジャパンリアルエステイト投資法人,S100YKO3,OK,79,1%,79%,0%,0%,0%,94%
ジャパン・インフラファンド投資法人,S100XNLN,OK,67,97%,97%,0%,97%,97%,0%
ジャパン・ホテル・リート投資法人,S100XT8A,OK,51,100%,100%,0%,100%,98%,0%
スターアジア不動産投資法人,S100Y0XV,OK,76,96%,100%,96%,0%,96%,96%
スターツプロシード投資法人,S100XHYE,OK,107,100%,100%,100%,100%,100%,100%
セントラル・リート投資法人,S100Y75L,OK,18,100%,100%,94%,100%,100%,100%
タカラレーベン不動産投資法人,S100X6VF,OK,79,100%,100%,96%,100%,100%,100%
トーセイ・リート投資法人,S100XHVP,OK,63,100%,100%,100%,100%,100%,96%
ヒューリックリート投資法人,S100Y6KG,OK,69,97%,100%,97%,97%,98%,98%
フロンティア不動産投資法人,S100XVGT,OK,42,100%,100%,0%,0%,100%,85%
ヘルスケア＆メディカル投資法人,S100Y0YD,OK,69,0%,97%,82%,82%,0%,89%
マリモ地方創生リート投資法人,S100XUI0,OK,60,100%,100%,98%,100%,98%,98%
ユナイテッド・アーバン投資法人,S100XN81,OK,145,100%,97%,0%,97%,20%,96%
ラサールロジポート投資法人,S100Y7AT,OK,22,100%,100%,100%,100%,100%,0%
三井不動産アコモデーションファンド投資法人,S100Y7BA,OK,144,97%,100%,98%,100%,97%,97%
三井不動産ロジスティクスパーク投資法人,S100Y145,OK,45,100%,100%,100%,100%,100%,97%
三菱地所物流リート投資法人,S100Y7AQ,OK,40,92%,100%,92%,92%,92%,92%
大和ハウスリート投資法人,S100Y5YI,OK,234,98%,100%,95%,98%,99%,98%
大和証券オフィス投資法人,S100XLNF,OK,59,98%,98%,98%,0%,0%,98%
大和証券リビング投資法人,S100YD34,OK,238,100%,100%,100%,100%,2%,100%
平和不動産リート投資法人,S100XN8P,OK,134,99%,99%,99%,99%,99%,99%
投資法人みらい,S100XHWR,OK,44,100%,100%,100%,100%,100%,100%
日本ビルファンド投資法人,S100XVBK,OK,70,100%,100%,0%,100%,0%,98%
日本プライムリアルティ投資法人,S100XUM9,OK,67,100%,100%,0%,0%,100%,0%
日本プロロジスリート投資法人,S100XNAS,OK,61,100%,100%,100%,0%,0%,100%
日本ホテル＆レジデンシャル投資法人,S100XN7M,OK,25,92%,100%,92%,100%,40%,32%
日本リート投資法人,S100XUP5,OK,102,100%,100%,99%,0%,100%,100%
日本都市ファンド投資法人,S100Y6MB,OK,172,91%,96%,84%,91%,91%,0%
星野リゾート・リート投資法人,S100XH2J,OK,73,95%,100%,95%,95%,89%,1%
東京インフラ・エネルギー投資法人,S100XVKM,OK,23,100%,100%,0%,100%,100%,0%
東急リアル・エステート投資法人,S100Y0V1,OK,28,0%,100%,0%,0%,100%,100%
東海道リート投資法人,S100Y1FK,OK,30,96%,100%,93%,96%,96%,30%
森トラストリート投資法人,S100Y6WL,OK,20,100%,100%,100%,0%,100%,70%
森ヒルズリート投資法人,S100Y00Z,OK,4,25%,25%,0%,0%,100%,25%
産業ファンド投資法人,S100Y08I,OK,118,93%,94%,77%,93%,93%,90%
福岡リート投資法人,S100Y6OW,OK,37,100%,100%,0%,100%,100%,100%
積水ハウス・リート投資法人,S100XHNC,OK,139,100%,100%,98%,100%,100%,100%
野村不動産マスターファンド投資法人,S100Y74Q,OK,285,100%,100%,0%,100%,0%,0%
阪急阪神リート投資法人,S100XMAM,OK,39,100%,94%,0%,0%,94%,94%
ＣＲＥロジスティクスファンド投資法人,S100XSON,OK,20,95%,100%,100%,100%,100%,100%
ＧＬＰ投資法人,S100Y78H,OK,168,50%,100%,50%,50%,48%,49%
ＫＤＸ不動産投資法人,S100XHNZ,OK,342,100%,100%,0%,0%,0%,100%
ＮＴＴ都市開発リート投資法人,S100XHYS,OK,62,100%,100%,0%,0%,27%,98%
Ｏｎｅリート投資法人,S100Y705,OK,35,97%,82%,80%,0%,42%,0%
ＳＯＳｉＬＡ物流リート投資法人,S100XN7C,OK,18,94%,94%,94%,94%,94%,94%
