reit_name,edinet_code,doc_id,period,property_name,use_type,acquisition_price,book_value,appraisal_value,cap_rate,appraiser,location,region,land_area,gross_floor_area,leasable_area,leased_area,occupancy,tenant_count,investment_ratio,rental_income,discount_rate,terminal_cap
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご西参道ビル,事務所,,3278.0,3330.0,,,東京都渋谷区代々木三丁目28番６号、７号,都心６区,,,4523.19,4523.19,100.0,17.0,1.5,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご三田ビル,事務所,,2723.0,3960.0,,,東京都港区芝五丁目13番18号,都心６区,,,4119.74,4119.74,89.5,11.0,1.3,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご南平台ビル,事務所,,1892.0,3130.0,,,東京都渋谷区南平台町１番10号,都心６区,,,1925.24,1925.24,100.0,13.0,0.9,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご半蔵門ビル,事務所,,1531.0,2230.0,,,東京都千代田区隼町２番19号,都心６区,,,2080.37,1690.17,92.5,4.0,0.7,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご聖坂ビル,事務所,,1296.0,1630.0,,,東京都港区三田三丁目４番２号,都心６区,,,1947.9,1947.9,100.0,4.0,0.6,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご渋谷神山町ビル,事務所,,1373.0,2090.0,,,東京都渋谷区神山町７番10号,都心６区,,,1321.54,1144.34,100.0,5.0,0.6,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご芝公園ビル,事務所,,1134.0,1320.0,,,東京都港区芝三丁目12番１号,都心６区,,,1602.29,1382.39,100.0,2.0,0.5,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご恵比寿西ビル,事務所,,1892.0,2840.0,,,東京都渋谷区恵比寿西二丁目７番３号,都心６区,,,1484.39,1406.33,100.0,6.0,0.9,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご銀座６１２ビル,事務所,,1835.0,2540.0,,,東京都中央区銀座六丁目12番15号,都心６区,,,1363.22,1336.28,91.3,24.0,0.9,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご内神田ビル,事務所,,1114.0,1540.0,,,東京都千代田区内神田三丁目２番８号,都心６区,,,1378.83,1378.83,100.0,10.0,0.5,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご神保町ビル,事務所,,1873.0,2790.0,,,東京都千代田区神田神保町一丁目11番１,都心６区,,,1926.88,1926.88,92.6,10.0,0.9,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご箱崎ビル,事務所,,1123.0,1770.0,,,東京都中央区日本橋蛎殻町一丁目36番５号,都心６区,,,2397.73,2397.73,88.0,6.0,0.5,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご五反田ビル,事務所,,4718.0,6950.0,,,東京都品川区東五反田一丁目13番12号,都心６区,,,5346.39,4509.8,95.3,13.0,2.2,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご新横浜ビル,事務所,,1614.0,1900.0,,,神奈川県横浜市港北区新横浜三丁目17番地５,その他首都圏,,,4097.85,3867.59,97.7,12.0,0.7,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご南池袋ビル,事務所,,1320.0,2360.0,,,東京都豊島区南池袋二丁目27番17号,その他首都圏,,,1491.5,1491.5,100.0,8.0,0.6,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご中野ノースビル,事務所,,692.0,1080.0,,,東京都中野区新井一丁目26番６号,その他首都圏,,,1264.11,1264.11,100.0,7.0,0.3,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご永代ビル,事務所,,1400.0,1670.0,,,東京都江東区永代二丁目31番１号,その他首都圏,,,2605.54,2605.54,100.0,10.0,0.6,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご池尻ビル,事務所,,1923.0,2560.0,,,東京都目黒区大橋二丁目22番８号,その他首都圏,,,2385.69,2385.69,91.1,6.0,0.9,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご西池袋ビル,事務所,,571.0,1070.0,,,東京都豊島区池袋二丁目53番７号,その他首都圏,,,1261.91,1261.91,100.0,1.0,0.3,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご西五反田ビル,事務所,,759.0,1020.0,,,東京都品川区西五反田三丁目６番20号,都心６区,,,1341.59,1341.59,100.0,9.0,0.4,,,
いちごオフィスリート投資法人,E14150,S100XHYH,有価証券報告書（内国投資証券）－第40期(2025/05/01－2025/10/31),いちご吉祥寺ビル,事務所,,2135.0,3270.0,,,東京都武蔵野市吉祥寺本町二丁目５番10号,その他首都圏,,,4210.87,4210.87,100.0,14.0,1.0,,,
