station,pt_n,price_median,yoy_median,resi_n,resi_price_median,comm_n,comm_price_median,points_json
お花茶屋駅,4,1157024,4.05,3,1176859,1,1011570,"[{""addr"":""東京都葛飾区お花茶屋１丁目５３０番１６"",""use"":""1住居"",""price"":393000,""tsubo"":1299174,""yoy"":4.0,""dist"":220,""far"":200.0},{""addr"":""東京都葛飾区お花茶屋３丁目３９６番１２"",""use"":""1住居"",""price"":356000,""tsubo"":1176859,""yoy"":4.1,""dist"":700,""far"":200.0},{""addr"":""東京都葛飾区宝町１丁目２９番９"",""use"":""準工"",""price"":306000,""tsubo"":1011570,""yoy"":4.1,""dist"":700,""far"":200.0},{""addr"":""東京都葛飾区西亀有１丁目２番１"",""use"":""1中専"",""price"":344000,""tsubo"":1137190,""yoy"":3.9,""dist"":1300,""far"":200.0}]"
すずかけ台駅,3,674380,3.0,2,641322,1,800000,"[{""addr"":""東京都町田市南つくし野３丁目５番１３"",""use"":""近商"",""price"":242000,""tsubo"":800000,""yoy"":3.0,""dist"":80,""far"":300.0},{""addr"":""東京都町田市南つくし野２丁目５番４"",""use"":""1低専"",""price"":204000,""tsubo"":674380,""yoy"":4.1,""dist"":500,""far"":80.0},{""addr"":""東京都町田市小川４丁目７番２１"",""use"":""1低専"",""price"":184000,""tsubo"":608264,""yoy"":2.8,""dist"":1400,""far"":100.0}]"
つくし野駅,3,707438,4.0,3,707438,0,,"[{""addr"":""東京都町田市つくし野１丁目２３番２６"",""use"":""1低専"",""price"":214000,""tsubo"":707438,""yoy"":4.4,""dist"":300,""far"":80.0},{""addr"":""東京都町田市つくし野２丁目１３番３"",""use"":""1低専"",""price"":232000,""tsubo"":766942,""yoy"":4.0,""dist"":500,""far"":80.0},{""addr"":""東京都町田市小川１丁目２８番５"",""use"":""1低専"",""price"":186000,""tsubo"":614876,""yoy"":3.3,""dist"":900,""far"":100.0}]"
つつじヶ丘駅,5,1302479,3.0,5,1302479,0,,"[{""addr"":""東京都調布市東つつじケ丘２丁目２５番６２"",""use"":""1低専"",""price"":394000,""tsubo"":1302479,""yoy"":2.6,""dist"":450,""far"":80.0},{""addr"":""東京都調布市西つつじケ丘１丁目３３番１７"",""use"":""1低専"",""price"":408000,""tsubo"":1348760,""yoy"":3.3,""dist"":650,""far"":80.0},{""addr"":""東京都三鷹市中原１丁目９２１番２６"",""use"":""1低専"",""price"":453000,""tsubo"":1497521,""yoy"":3.0,""dist"":800,""far"":80.0},{""addr"":""東京都調布市西つつじケ丘４丁目４６番２"",""use"":""1低専"",""price"":342000,""tsubo"":1130578,""yoy"":2.7,""dist"":1100,""far"":80.0},{""addr"":""東京都調布市柴崎２丁目２７番１５"",""use"":""1低専"",""price"":330000,""tsubo"":1090909,""yoy"":4.1,""dist"":1400,""far"":80.0}]"
とうきょうスカイツリー駅,2,2038016,6.5,0,,2,2038016,"[{""addr"":""東京都墨田区押上２丁目５番４９外"",""use"":""商業"",""price"":689000,""tsubo"":2277686,""yoy"":6.5,""dist"":320,""far"":400.0},{""addr"":""東京都墨田区向島３丁目１７番５外"",""use"":""準工"",""price"":544000,""tsubo"":1798347,""yoy"":6.5,""dist"":480,""far"":300.0}]"
ときわ台駅,6,1811570,4.3,4,1811570,2,2676033,"[{""addr"":""東京都板橋区常盤台２丁目６番７"",""use"":""商業"",""price"":1140000,""tsubo"":3768595,""yoy"":4.6,""dist"":70,""far"":500.0},{""addr"":""東京都板橋区常盤台２丁目２４番１０"",""use"":""1低専"",""price"":655000,""tsubo"":2165289,""yoy"":4.1,""dist"":440,""far"":100.0},{""addr"":""東京都板橋区南常盤台２丁目２５番１７"",""use"":""1住居"",""price"":578000,""tsubo"":1910744,""yoy"":4.3,""dist"":550,""far"":200.0},{""addr"":""東京都板橋区前野町１丁目４４番１４"",""use"":""準工"",""price"":479000,""tsubo"":1583471,""yoy"":4.1,""dist"":820,""far"":200.0},{""addr"":""東京都板橋区東山町２３番１５外"",""use"":""1中専"",""price"":518000,""tsubo"":1712397,""yoy"":5.3,""dist"":900,""far"":200.0},{""addr"":""東京都板橋区東新町１丁目３０番１９"",""use"":""1中専"",""price"":457000,""tsubo"":1510744,""yoy"":4.3,""dist"":1000,""far"":200.0}]"
ひばりヶ丘駅,11,1087603,2.6,8,1076033,3,1752066,"[{""addr"":""東京都西東京市ひばりが丘１丁目１５５７番２３"",""use"":""商業"",""price"":570000,""tsubo"":1884297,""yoy"":4.0,""dist"":210,""far"":500.0},{""addr"":""東京都西東京市ひばりが丘北３丁目２５６５番２７外"",""use"":""近商"",""price"":530000,""tsubo"":1752066,""yoy"":4.3,""dist"":210,""far"":200.0},{""addr"":""東京都東久留米市浅間町３丁目３番１１"",""use"":""1低専"",""price"":327000,""tsubo"":1080992,""yoy"":2.5,""dist"":450,""far"":80.0},{""addr"":""東京都西東京市谷戸町３丁目３１４０番２４"",""use"":""1低専"",""price"":349000,""tsubo"":1153719,""yoy"":2.6,""dist"":470,""far"":100.0},{""addr"":""東京都西東京市ひばりが丘１丁目１５６８番１２"",""use"":""1低専"",""price"":381000,""tsubo"":1259504,""yoy"":1.9,""dist"":550,""far"":100.0},{""addr"":""東京都西東京市ひばりが丘北１丁目２５２７番４６"",""use"":""2中専"",""price"":324000,""tsubo"":1071074,""yoy"":3.5,""dist"":650,""far"":200.0},{""addr"":""東京都西東京市住吉町２丁目２６６０番１"",""use"":""1低専"",""price"":302000,""tsubo"":998347,""yoy"":2.0,""dist"":700,""far"":80.0},{""addr"":""東京都東久留米市学園町２丁目２６番９外"",""use"":""1低専"",""price"":357000,""tsubo"":1180165,""yoy"":2.6,""dist"":800,""far"":80.0}]"
めじろ台駅,6,489256,3.0,6,489256,0,,"[{""addr"":""東京都八王子市めじろ台４丁目２０番４"",""use"":""1低専"",""price"":157000,""tsubo"":519008,""yoy"":2.6,""dist"":280,""far"":80.0},{""addr"":""東京都八王子市めじろ台２丁目４５番１４"",""use"":""1低専"",""price"":148000,""tsubo"":489256,""yoy"":3.5,""dist"":500,""far"":80.0},{""addr"":""東京都八王子市椚田町５１３番１４"",""use"":""準住居"",""price"":182000,""tsubo"":601653,""yoy"":3.4,""dist"":900,""far"":200.0},{""addr"":""東京都八王子市東浅川町６５４番４"",""use"":""1低専"",""price"":112000,""tsubo"":370248,""yoy"":1.8,""dist"":1100,""far"":80.0},{""addr"":""東京都八王子市椚田町５６８番８"",""use"":""1低専"",""price"":148000,""tsubo"":489256,""yoy"":3.5,""dist"":1300,""far"":100.0},{""addr"":""東京都八王子市寺田町２５９番５"",""use"":""2中専"",""price"":115000,""tsubo"":380165,""yoy"":1.8,""dist"":1500,""far"":200.0}]"
一之江駅,8,1155372,4.8,7,1140496,1,1676033,"[{""addr"":""東京都江戸川区一之江３丁目３７番２"",""use"":""近商"",""price"":507000,""tsubo"":1676033,""yoy"":6.1,""dist"":110,""far"":300.0},{""addr"":""東京都江戸川区一之江７丁目７番４８"",""use"":""1住居"",""price"":424000,""tsubo"":1401653,""yoy"":5.0,""dist"":350,""far"":200.0},{""addr"":""東京都江戸川区西瑞江５丁目１４番４６"",""use"":""1中専"",""price"":342000,""tsubo"":1130578,""yoy"":4.6,""dist"":830,""far"":200.0},{""addr"":""東京都江戸川区江戸川３丁目５２番１７"",""use"":""1住居"",""price"":325000,""tsubo"":1074380,""yoy"":5.2,""dist"":840,""far"":200.0},{""addr"":""東京都江戸川区一之江２丁目５４番１８外"",""use"":""1中専"",""price"":334000,""tsubo"":1104132,""yoy"":3.7,""dist"":1000,""far"":100.0},{""addr"":""東京都江戸川区西一之江３丁目９３２番２４"",""use"":""1住居"",""price"":354000,""tsubo"":1170248,""yoy"":4.1,""dist"":1100,""far"":200.0},{""addr"":""東京都江戸川区松江７丁目２７１番３"",""use"":""1住居"",""price"":367000,""tsubo"":1213223,""yoy"":4.0,""dist"":1200,""far"":200.0},{""addr"":""東京都江戸川区江戸川６丁目７番３１"",""use"":""1中専"",""price"":345000,""tsubo"":1140496,""yoy"":5.2,""dist"":1200,""far"":150.0}]"
一橋学園駅,7,902479,3.0,5,902479,2,1186777,"[{""addr"":""東京都小平市学園東町１丁目４７番１４"",""use"":""商業"",""price"":452000,""tsubo"":1494215,""yoy"":2.7,""dist"":90,""far"":400.0},{""addr"":""東京都小平市学園西町２丁目１６１０番５４"",""use"":""1低専"",""price"":285000,""tsubo"":942149,""yoy"":2.9,""dist"":650,""far"":80.0},{""addr"":""東京都小平市喜平町１丁目１１４０番４外"",""use"":""1中専"",""price"":252000,""tsubo"":833058,""yoy"":3.3,""dist"":800,""far"":200.0},{""addr"":""東京都小平市学園東町２丁目１６番１８"",""use"":""近商"",""price"":266000,""tsubo"":879339,""yoy"":2.3,""dist"":800,""far"":200.0},{""addr"":""東京都小平市学園東町２丁目２６番３８"",""use"":""1低専"",""price"":273000,""tsubo"":902479,""yoy"":3.0,""dist"":900,""far"":80.0},{""addr"":""東京都小平市上水本町６丁目１５０５番８外"",""use"":""1低専"",""price"":262000,""tsubo"":866116,""yoy"":3.1,""dist"":1300,""far"":80.0},{""addr"":""東京都小平市上水南町１丁目４８３番２２"",""use"":""1低専"",""price"":281000,""tsubo"":928926,""yoy"":3.3,""dist"":1300,""far"":80.0}]"
