station,pop_walk,hh_walk,town_n
東京駅,9878,6624,39
新橋駅,16962,11664,36
品川駅,65824,35644,17
大崎駅,83607,48822,29
五反田駅,102191,59474,31
目黒駅,87559,52324,25
恵比寿駅,75298,46264,30
渋谷駅,41366,25585,28
原宿駅,17308,10079,12
代々木駅,27212,18096,13
新宿駅,60432,44740,22
新大久保駅,96795,67645,23
高田馬場駅,98141,62592,22
目白駅,90423,57995,25
池袋駅,82452,55965,24
大塚駅,118972,76312,28
巣鴨駅,120495,72710,29
駒込駅,87298,52010,27
田端駅,101654,61857,31
西日暮里駅,110684,67090,33
日暮里駅,110073,66567,32
鶯谷駅,101063,62527,38
上野駅,83695,53095,47
御徒町駅,75097,47894,58
秋葉原駅,80869,52849,87
神田駅,46177,29450,81
有楽町駅,12867,8840,36
浜松町駅,31117,20080,25
田町駅,74427,43595,20
高輪ゲートウェイ駅,76664,40127,15
矢野口駅,34304,16683,6
稲城長沼駅,25875,11772,6
南多摩駅,19101,8648,10
府中本町駅,57437,30883,37
分倍河原駅,56553,29654,37
西府駅,41865,21177,27
谷保駅,39752,19888,19
矢川駅,44811,23523,18
西国立駅,59174,33579,18
立川駅,54928,32444,17
北府中駅,41936,21824,27
西国分寺駅,39607,20634,19
新小平駅,32888,17300,14
新秋津駅,28833,14303,11
成瀬駅,42611,20787,28
町田駅,37288,22297,15
相原駅,0,0,0
八王子みなみ野駅,37168,17696,15
片倉駅,28787,14990,6
八王子駅,51068,30277,27
西大井駅,107867,62018,32
四ツ谷駅,51055,29496,41
吉祥寺駅,51773,29866,18
三鷹駅,74796,42706,19
国分寺駅,44639,24900,21
日野駅,29978,15727,23
豊田駅,49462,24741,24
西八王子駅,40254,22517,20
高尾駅,19284,9541,4
御茶ノ水駅,50602,31473,64
中野駅,98591,65732,21
高円寺駅,100398,67518,21
阿佐ケ谷駅,98232,61623,19
荻窪駅,82121,48107,19
西荻窪駅,82881,46530,25
武蔵境駅,56844,30385,21
東小金井駅,57716,29426,18
武蔵小金井駅,69762,36084,22
国立駅,55766,28597,22
東中野駅,96755,64475,19
大久保駅,97021,66965,21
千駄ケ谷駅,32476,21050,18
信濃町駅,35035,21694,22
市ケ谷駅,56866,30935,57
飯田橋駅,70696,40939,65
水道橋駅,64747,37416,44
浅草橋駅,106025,67945,72
両国駅,119221,75355,53
錦糸町駅,117539,73081,42
亀戸駅,117156,70747,23
平井駅,86638,47357,16
新小岩駅,69106,39915,18
小岩駅,81816,47074,25
新日本橋駅,49887,31820,77
馬喰町駅,98361,62815,84
西立川駅,24307,13400,18
東中神駅,32846,17416,23
中神駅,47375,24488,28
昭島駅,35911,18061,24
拝島駅,34871,18558,12
牛浜駅,12262,7103,11
福生駅,32457,18264,12
羽村駅,31430,15925,27
小作駅,29935,15667,22
河辺駅,37235,20428,25
東青梅駅,26798,14323,28
青梅駅,13284,7022,22
宮ノ平駅,6234,3163,9
日向和田駅,3910,1858,7
石神前駅,3217,1514,5
二俣尾駅,1478,747,3
軍畑駅,1001,528,4
沢井駅,1626,918,4
御嶽駅,316,184,2
川井駅,0,0,0
古里駅,0,0,0
鳩ノ巣駅,0,0,0
白丸駅,0,0,0
奥多摩駅,0,0,0
熊川駅,30157,16587,10
東秋留駅,18115,8578,12
秋川駅,14908,7348,14
武蔵引田駅,9314,4228,5
武蔵増戸駅,8657,3981,3
武蔵五日市駅,7949,3935,7
北八王子駅,24760,12763,10
小宮駅,23707,11231,8
東福生駅,14610,8306,10
箱根ケ崎駅,0,0,0
尾久駅,79667,47329,30
赤羽駅,70317,42056,24
三河島駅,109566,66942,25
南千住駅,99927,56805,25
北千住駅,68813,40877,24
綾瀬駅,73499,43151,21
亀有駅,73531,40200,20
金町駅,62938,33162,20
板橋駅,109629,67623,24
十条駅,73930,44396,31
北赤羽駅,56961,30718,14
浮間舟渡駅,42371,22611,10
八丁堀駅,73810,44326,46
越中島駅,99895,55742,35
潮見駅,37862,20144,11
新木場駅,1773,930,7
葛西臨海公園駅,19069,9050,8
東十条駅,91863,56031,34
王子駅,82730,48586,28
上中里駅,82700,48118,27
大井町駅,94931,55149,27
大森駅,105474,61358,27
蒲田駅,111374,69129,28
北池袋駅,123547,81227,26
下板橋駅,118994,75068,23
大山駅,117359,74031,24
中板橋駅,98429,59834,21
ときわ台駅,105449,62209,24
上板橋駅,82886,47612,25
東武練馬駅,90431,50950,23
下赤塚駅,83902,46965,19
成増駅,74415,43734,15
浅草駅,108496,67865,50
とうきょうスカイツリー駅,105165,63209,42
押上〈スカイツリー前〉駅,112626,67229,40
曳舟駅,101416,57805,27
東向島駅,98096,55250,25
鐘ヶ淵駅,78838,42225,18
堀切駅,56352,29703,13
牛田駅,63499,35154,17
小菅駅,61963,37249,20
五反野駅,76755,44633,25
梅島駅,88549,49076,26
西新井駅,90303,49565,27
竹ノ塚駅,67427,37218,27
小村井駅,90502,50394,23
東あずま駅,89149,51500,20
