muni,muni_code,station_n,mansion_n,mansion_tsubo_median,mansion_price_median,land_n,land_tsubo_median,house_n,house_price_median,isshu_n,isshu_bands_json,lp_n,lp_price_median,lp_comm_median,lp_yoy_median,mansion_bldg_n
あきる野市,13228,5,3,813732,16000000,41,310000,202,27000000,7,"[{""k"":""1億円未満"",""n"":5,""price"":53000000,""floor"":320},{""k"":""1〜3億円"",""n"":2,""price"":140000000,""floor"":930}]",0,,,,0
三宅村,13381,0,0,,,1,9900,1,5000000,0,[],0,,,,0
三鷹市,13204,3,281,2797203,58000000,43,1800000,309,65000000,13,"[{""k"":""1億円未満"",""n"":5,""price"":60000000,""floor"":155},{""k"":""1〜3億円"",""n"":7,""price"":240000000,""floor"":400},{""k"":""10億円以上"",""n"":1,""price"":1500000000,""floor"":""""}]",0,,,,7
世田谷区,13112,39,2334,3512397,64000000,231,3000000,1066,95000000,102,"[{""k"":""1億円未満"",""n"":20,""price"":68000000,""floor"":102},{""k"":""1〜3億円"",""n"":36,""price"":175000000,""floor"":210},{""k"":""3〜10億円"",""n"":42,""price"":470000000,""floor"":440},{""k"":""10億円以上"",""n"":4,""price"":1200000000,""floor"":855}]",0,,,,127
中央区,13102,22,1859,6044864,100000000,8,9550000,55,320000000,7,"[{""k"":""1〜3億円"",""n"":4,""price"":210000000,""floor"":260},{""k"":""3〜10億円"",""n"":2,""price"":685000000,""floor"":615},{""k"":""10億円以上"",""n"":1,""price"":1200000000,""floor"":770}]",0,,,,154
中野区,13114,12,996,3625344,48000000,105,2700000,413,80000000,79,"[{""k"":""1億円未満"",""n"":24,""price"":73500000,""floor"":82},{""k"":""1〜3億円"",""n"":34,""price"":165000000,""floor"":200},{""k"":""3〜10億円"",""n"":18,""price"":515000000,""floor"":440},{""k"":""10億円以上"",""n"":3,""price"":1000000000,""floor"":890}]",0,,,,39
八丈町,13401,0,0,,,7,23000,8,6300000,2,"[{""k"":""1億円未満"",""n"":2,""price"":16500000,""floor"":228}]",0,,,,0
八王子市,13201,20,892,1196379,25000000,149,420000,1113,33000000,58,"[{""k"":""1億円未満"",""n"":39,""price"":47000000,""floor"":175},{""k"":""1〜3億円"",""n"":18,""price"":135000000,""floor"":430},{""k"":""3〜10億円"",""n"":1,""price"":440000000,""floor"":920}]",0,,,,41
北区,13117,19,972,3173554,45000000,110,2200000,394,65000000,42,"[{""k"":""1億円未満"",""n"":17,""price"":58000000,""floor"":112},{""k"":""1〜3億円"",""n"":16,""price"":220000000,""floor"":295},{""k"":""3〜10億円"",""n"":6,""price"":515000000,""floor"":500},{""k"":""10億円以上"",""n"":3,""price"":1300000000,""floor"":1180}]",0,,,,71
千代田区,13101,28,570,5785124,72000000,8,11000000,33,430000000,3,"[{""k"":""1〜3億円"",""n"":1,""price"":280000000,""floor"":280},{""k"":""3〜10億円"",""n"":1,""price"":640000000,""floor"":460},{""k"":""10億円以上"",""n"":1,""price"":2200000000,""floor"":1400}]",0,,,,28
台東区,13106,15,1207,3834711,48000000,55,6000000,132,130000000,27,"[{""k"":""1億円未満"",""n"":4,""price"":68500000,""floor"":192},{""k"":""1〜3億円"",""n"":8,""price"":210000000,""floor"":180},{""k"":""3〜10億円"",""n"":13,""price"":430000000,""floor"":570},{""k"":""10億円以上"",""n"":2,""price"":1300000000,""floor"":1250}]",0,,,,112
品川区,13109,26,1877,4297520,60000000,91,3700000,329,96000000,55,"[{""k"":""1億円未満"",""n"":11,""price"":78000000,""floor"":110},{""k"":""1〜3億円"",""n"":23,""price"":170000000,""floor"":200},{""k"":""3〜10億円"",""n"":17,""price"":420000000,""floor"":430},{""k"":""10億円以上"",""n"":4,""price"":1450000000,""floor"":1135}]",0,,,,74
国分寺市,13214,3,229,2644628,53000000,62,1250000,266,56000000,12,"[{""k"":""1億円未満"",""n"":6,""price"":68500000,""floor"":192},{""k"":""1〜3億円"",""n"":5,""price"":130000000,""floor"":260},{""k"":""3〜10億円"",""n"":1,""price"":380000000,""floor"":520}]",0,,,,5
国立市,13215,3,151,2186904,44000000,28,1300000,119,63000000,14,"[{""k"":""1億円未満"",""n"":6,""price"":68500000,""floor"":280},{""k"":""1〜3億円"",""n"":7,""price"":200000000,""floor"":460},{""k"":""3〜10億円"",""n"":1,""price"":380000000,""floor"":740}]",0,,,,10
墨田区,13107,14,1280,3438016,42000000,62,3000000,269,64000000,42,"[{""k"":""1億円未満"",""n"":5,""price"":62000000,""floor"":120},{""k"":""1〜3億円"",""n"":15,""price"":170000000,""floor"":230},{""k"":""3〜10億円"",""n"":22,""price"":590000000,""floor"":870}]",0,,,,64
多摩市,13224,7,395,1227863,28000000,18,710000,134,44500000,10,"[{""k"":""1億円未満"",""n"":6,""price"":69500000,""floor"":165},{""k"":""1〜3億円"",""n"":4,""price"":125000000,""floor"":495}]",0,,,,12
大島町,13361,0,0,,,4,16300,6,4000000,0,[],0,,,,0
大田区,13111,40,2139,3005259,38000000,233,2300000,830,71000000,109,"[{""k"":""1億円未満"",""n"":20,""price"":74000000,""floor"":122},{""k"":""1〜3億円"",""n"":56,""price"":155000000,""floor"":240},{""k"":""3〜10億円"",""n"":31,""price"":430000000,""floor"":470},{""k"":""10億円以上"",""n"":2,""price"":2100000000,""floor"":1300}]",0,,,,105
小平市,13211,7,232,1652892,35000000,51,940000,486,48000000,22,"[{""k"":""1億円未満"",""n"":12,""price"":66500000,""floor"":180},{""k"":""1〜3億円"",""n"":5,""price"":150000000,""floor"":430},{""k"":""3〜10億円"",""n"":5,""price"":370000000,""floor"":700}]",0,,,,7
小笠原村,13421,0,0,,,2,816,0,,0,[],0,,,,0
小金井市,13210,3,184,2414225,42500000,39,1700000,208,66000000,13,"[{""k"":""1億円未満"",""n"":5,""price"":46000000,""floor"":135},{""k"":""1〜3億円"",""n"":6,""price"":165000000,""floor"":218},{""k"":""3〜10億円"",""n"":1,""price"":300000000,""floor"":500},{""k"":""10億円以上"",""n"":1,""price"":1100000000,""floor"":1600}]",0,,,,4
府中市,13206,14,528,1930494,39000000,68,1200000,456,50000000,15,"[{""k"":""1億円未満"",""n"":7,""price"":52000000,""floor"":228},{""k"":""1〜3億円"",""n"":4,""price"":225000000,""floor"":305},{""k"":""3〜10億円"",""n"":3,""price"":370000000,""floor"":650},{""k"":""10億円以上"",""n"":1,""price"":1400000000,""floor"":""""}]",0,,,,23
文京区,13105,14,1201,4424666,60000000,59,5000000,180,130000000,31,"[{""k"":""1億円未満"",""n"":2,""price"":78500000,""floor"":172},{""k"":""1〜3億円"",""n"":13,""price"":140000000,""floor"":180},{""k"":""3〜10億円"",""n"":11,""price"":580000000,""floor"":490},{""k"":""10億円以上"",""n"":5,""price"":1600000000,""floor"":910}]",0,,,,58
新宿区,13104,29,2001,4363636,54000000,53,4500000,220,140000000,57,"[{""k"":""1億円未満"",""n"":5,""price"":79000000,""floor"":75},{""k"":""1〜3億円"",""n"":27,""price"":200000000,""floor"":180},{""k"":""3〜10億円"",""n"":19,""price"":450000000,""floor"":440},{""k"":""10億円以上"",""n"":6,""price"":1300000000,""floor"":1100}]",0,,,,77
新島村,13363,0,0,,,4,13000,1,3300000,0,[],0,,,,0
日野市,13212,10,224,1276663,27000000,58,690000,448,44000000,21,"[{""k"":""1億円未満"",""n"":16,""price"":63000000,""floor"":200},{""k"":""1〜3億円"",""n"":5,""price"":210000000,""floor"":460}]",0,,,,6
昭島市,13207,4,201,1322314,29000000,43,680000,222,38000000,7,"[{""k"":""1億円未満"",""n"":5,""price"":29000000,""floor"":205},{""k"":""1〜3億円"",""n"":2,""price"":110000000,""floor"":515}]",0,,,,6
杉並区,13115,18,1377,3239669,46000000,200,2550000,882,85000000,94,"[{""k"":""1億円未満"",""n"":32,""price"":66000000,""floor"":115},{""k"":""1〜3億円"",""n"":40,""price"":150000000,""floor"":220},{""k"":""3〜10億円"",""n"":21,""price"":590000000,""floor"":530},{""k"":""10億円以上"",""n"":1,""price"":1100000000,""floor"":800}]",0,,,,55
東久留米市,13222,1,147,881543,15000000,27,820000,323,43000000,7,"[{""k"":""1億円未満"",""n"":3,""price"":49000000,""floor"":120},{""k"":""1〜3億円"",""n"":2,""price"":220000000,""floor"":470},{""k"":""3〜10億円"",""n"":2,""price"":500000000,""floor"":1400}]",0,,,,1
東大和市,13220,3,81,1366391,30000000,37,600000,218,37000000,4,"[{""k"":""1億円未満"",""n"":3,""price"":52000000,""floor"":200},{""k"":""1〜3億円"",""n"":1,""price"":100000000,""floor"":310}]",0,,,,2
東村山市,13213,9,233,1280992,26000000,51,690000,392,39000000,9,"[{""k"":""1億円未満"",""n"":6,""price"":47000000,""floor"":148},{""k"":""1〜3億円"",""n"":3,""price"":130000000,""floor"":420}]",0,,,,0
板橋区,13119,20,1790,2644628,34000000,132,1950000,617,64000000,75,"[{""k"":""1億円未満"",""n"":22,""price"":69500000,""floor"":118},{""k"":""1〜3億円"",""n"":32,""price"":185000000,""floor"":300},{""k"":""3〜10億円"",""n"":19,""price"":430000000,""floor"":530},{""k"":""10億円以上"",""n"":2,""price"":1300000000,""floor"":""""}]",0,,,,91
武蔵村山市,13223,0,17,610299,11000000,27,470000,196,30000000,2,"[{""k"":""1億円未満"",""n"":2,""price"":56000000,""floor"":248}]",0,,,,0
武蔵野市,13203,2,329,3164108,60000000,31,2400000,127,84000000,14,"[{""k"":""1億円未満"",""n"":5,""price"":58000000,""floor"":112},{""k"":""1〜3億円"",""n"":8,""price"":130000000,""floor"":185},{""k"":""3〜10億円"",""n"":1,""price"":300000000,""floor"":330}]",0,,,,18
江戸川区,13123,11,1013,2216821,46000000,127,1500000,929,51000000,58,"[{""k"":""1億円未満"",""n"":13,""price"":55000000,""floor"":188},{""k"":""1〜3億円"",""n"":29,""price"":140000000,""floor"":300},{""k"":""3〜10億円"",""n"":15,""price"":400000000,""floor"":590},{""k"":""10億円以上"",""n"":1,""price"":1600000000,""floor"":""""}]",0,,,,72
江東区,13108,28,2908,3827751,66000000,70,3350000,281,70000000,27,"[{""k"":""1億円未満"",""n"":12,""price"":69500000,""floor"":162},{""k"":""1〜3億円"",""n"":9,""price"":170000000,""floor"":250},{""k"":""3〜10億円"",""n"":6,""price"":410000000,""floor"":700}]",0,,,,129
清瀬市,13221,1,71,1322314,28000000,20,785000,172,44500000,4,"[{""k"":""1億円未満"",""n"":1,""price"":56000000,""floor"":300},{""k"":""1〜3億円"",""n"":3,""price"":220000000,""floor"":460}]",0,,,,0
渋谷区,13113,17,1332,5289256,80000000,48,6900000,166,250000000,33,"[{""k"":""1〜3億円"",""n"":12,""price"":205000000,""floor"":162},{""k"":""3〜10億円"",""n"":17,""price"":620000000,""floor"":360},{""k"":""10億円以上"",""n"":4,""price"":1300000000,""floor"":1040}]",0,,,,64
港区,13103,34,2116,6611570,110000000,32,12500000,98,550000000,16,"[{""k"":""1億円未満"",""n"":1,""price"":95000000,""floor"":120},{""k"":""1〜3億円"",""n"":2,""price"":180000000,""floor"":142},{""k"":""3〜10億円"",""n"":9,""price"":720000000,""floor"":490},{""k"":""10億円以上"",""n"":4,""price"":2250000000,""floor"":615}]",0,,,,75
狛江市,13219,2,160,2156273,43000000,24,1100000,177,62000000,7,"[{""k"":""1億円未満"",""n"":4,""price"":47000000,""floor"":128},{""k"":""1〜3億円"",""n"":3,""price"":200000000,""floor"":380}]",0,,,,4
町田市,13209,9,363,1432507,33000000,162,640000,1034,41000000,39,"[{""k"":""1億円未満"",""n"":24,""price"":39000000,""floor"":150},{""k"":""1〜3億円"",""n"":13,""price"":170000000,""floor"":730},{""k"":""3〜10億円"",""n"":2,""price"":355000000,""floor"":575}]",0,,,,14
目黒区,13110,8,921,4533648,69000000,91,4600000,254,140000000,37,"[{""k"":""1億円未満"",""n"":2,""price"":96500000,""floor"":138},{""k"":""1〜3億円"",""n"":15,""price"":180000000,""floor"":180},{""k"":""3〜10億円"",""n"":14,""price"":445000000,""floor"":330},{""k"":""10億円以上"",""n"":6,""price"":1500000000,""floor"":1195}]",0,,,,54
神津島村,13364,0,0,,,4,41000,0,,0,[],0,,,,0
福生市,13218,4,75,925620,17000000,26,600000,79,38000000,7,"[{""k"":""1億円未満"",""n"":3,""price"":62000000,""floor"":250},{""k"":""1〜3億円"",""n"":3,""price"":120000000,""floor"":450},{""k"":""3〜10億円"",""n"":1,""price"":430000000,""floor"":""""}]",0,,,,1
稲城市,13225,5,154,1322314,30500000,26,840000,176,52000000,5,"[{""k"":""1億円未満"",""n"":4,""price"":40500000,""floor"":138},{""k"":""1〜3億円"",""n"":1,""price"":130000000,""floor"":380}]",0,,,,3
立川市,13202,13,331,1682945,25000000,80,785000,342,44000000,11,"[{""k"":""1億円未満"",""n"":3,""price"":47000000,""floor"":150},{""k"":""1〜3億円"",""n"":7,""price"":150000000,""floor"":300},{""k"":""3〜10億円"",""n"":1,""price"":390000000,""floor"":540}]",0,,,,13
練馬区,13120,18,1516,2603306,38000000,203,1800000,1330,64000000,97,"[{""k"":""1億円未満"",""n"":29,""price"":60000000,""floor"":140},{""k"":""1〜3億円"",""n"":50,""price"":160000000,""floor"":215},{""k"":""3〜10億円"",""n"":15,""price"":420000000,""floor"":615},{""k"":""10億円以上"",""n"":3,""price"":1000000000,""floor"":1750}]",0,,,,72
羽村市,13227,2,48,778237,14000000,22,490000,85,30000000,4,"[{""k"":""1億円未満"",""n"":2,""price"":71000000,""floor"":530},{""k"":""1〜3億円"",""n"":2,""price"":150000000,""floor"":295}]",0,,,,0
荒川区,13118,20,752,2927981,50000000,109,2100000,191,60000000,35,"[{""k"":""1億円未満"",""n"":10,""price"":56000000,""floor"":110},{""k"":""1〜3億円"",""n"":14,""price"":210000000,""floor"":285},{""k"":""3〜10億円"",""n"":10,""price"":510000000,""floor"":575},{""k"":""10億円以上"",""n"":1,""price"":1300000000,""floor"":1200}]",0,,,,50
葛飾区,13122,12,935,2077922,34000000,111,1400000,715,46000000,54,"[{""k"":""1億円未満"",""n"":15,""price"":54000000,""floor"":155},{""k"":""1〜3億円"",""n"":26,""price"":140000000,""floor"":250},{""k"":""3〜10億円"",""n"":12,""price"":385000000,""floor"":560},{""k"":""10億円以上"",""n"":1,""price"":1000000000,""floor"":""""}]",0,,,,47
西多摩郡奥多摩町,13308,5,0,,,9,44000,1,14000000,0,[],0,,,,0
西多摩郡日の出町,13305,0,0,,,8,205000,28,17500000,0,[],0,,,,0
西多摩郡檜原村,13307,0,0,,,1,1000,2,3900000,0,[],0,,,,0
西多摩郡瑞穂町,13303,1,5,436364,4200000,10,285000,81,27000000,4,"[{""k"":""1億円未満"",""n"":3,""price"":18000000,""floor"":175},{""k"":""1〜3億円"",""n"":1,""price"":160000000,""floor"":640}]",0,,,,0
西東京市,13229,5,313,1889020,41000000,36,1200000,435,53000000,9,"[{""k"":""1億円未満"",""n"":5,""price"":43000000,""floor"":155},{""k"":""1〜3億円"",""n"":2,""price"":150000000,""floor"":280},{""k"":""3〜10億円"",""n"":2,""price"":600000000,""floor"":1245}]",0,,,,7
調布市,13208,9,563,2203857,43000000,47,1400000,364,55000000,20,"[{""k"":""1億円未満"",""n"":6,""price"":77000000,""floor"":152},{""k"":""1〜3億円"",""n"":9,""price"":160000000,""floor"":330},{""k"":""3〜10億円"",""n"":5,""price"":480000000,""floor"":1000}]",0,,,,39
