station,lon,lat
東京駅,139.765987,35.681421
新橋駅,139.758839,35.666185
品川駅,139.738847,35.628681
大崎駅,139.728439,35.619772
五反田駅,139.724057,35.626113
目黒駅,139.715569,35.633435
恵比寿駅,139.709854,35.646814
渋谷駅,139.701459,35.658936
原宿駅,139.702592,35.670646
代々木駅,139.701917,35.683113
新宿駅,139.700062,35.689935
新大久保駅,139.700261,35.700875
高田馬場駅,139.704058,35.712897
目白駅,139.706228,35.720476
池袋駅,139.710608,35.730263
大塚駅,139.728584,35.731412
巣鴨駅,139.738911,35.733474
駒込駅,139.747248,35.736892
田端駅,139.761229,35.737781
西日暮里駅,139.766771,35.73203
日暮里駅,139.771287,35.727908
鶯谷駅,139.778015,35.721484
上野駅,139.777063,35.713213
御徒町駅,139.774727,35.707282
秋葉原駅,139.773919,35.698582
神田駅,139.770706,35.691777
有楽町駅,139.763626,35.675532
浜松町駅,139.757135,35.655391
田町駅,139.747575,35.645736
高輪ゲートウェイ駅,139.7407,35.6355
矢野口駅,139.520849,35.641305
稲城長沼駅,139.502811,35.644184
南多摩駅,139.489781,35.649249
府中本町駅,139.477142,35.665766
分倍河原駅,139.468798,35.668493
西府駅,139.457477,35.670912
谷保駅,139.446724,35.681377
矢川駅,139.431611,35.685079
西国立駅,139.423887,35.69375
立川駅,139.413704,35.698202
北府中駅,139.471792,35.68088
西国分寺駅,139.465994,35.699744
新小平駅,139.470745,35.73128
新秋津駅,139.493592,35.778331
成瀬駅,139.472875,35.535412
町田駅,139.445407,35.543113
相原駅,139.33169,35.60694
八王子みなみ野駅,139.330678,35.630664
片倉駅,139.34119,35.639704
八王子駅,139.338998,35.655555
西大井駅,139.721729,35.601616
四ツ谷駅,139.730286,35.685748
吉祥寺駅,139.5799,35.702912
三鷹駅,139.560325,35.702683
国分寺駅,139.480517,35.700301
日野駅,139.39393,35.679244
豊田駅,139.381495,35.659502
西八王子駅,139.31264,35.656621
高尾駅,139.282042,35.641899
御茶ノ水駅,139.764621,35.699941
中野駅,139.665835,35.705765
高円寺駅,139.649664,35.705326
阿佐ケ谷駅,139.635868,35.704818
荻窪駅,139.620111,35.70445
西荻窪駅,139.599361,35.703842
武蔵境駅,139.543402,35.702083
東小金井駅,139.524837,35.701643
武蔵小金井駅,139.506483,35.701337
国立駅,139.44634,35.69923
東中野駅,139.683712,35.70671
大久保駅,139.69732,35.700784
千駄ケ谷駅,139.711644,35.681231
信濃町駅,139.720729,35.680031
市ケ谷駅,139.736465,35.691729
飯田橋駅,139.744693,35.702071
水道橋駅,139.754736,35.702719
浅草橋駅,139.785366,35.697427
両国駅,139.795378,35.696336
錦糸町駅,139.814404,35.697061
亀戸駅,139.826526,35.697526
平井駅,139.842181,35.70643
新小岩駅,139.857777,35.716903
小岩駅,139.881755,35.733207
新日本橋駅,139.77323,35.688687
